text,true,pred
""" . . . something appears to have been lost in the translation this time . the importance of being earnest movie seems to be missing a great deal of the acerbic repartee of the play . """,pos,neg
"shiner can certainly go the distance , but isn't world championship material",pos,neg
"saved from being merely way-cool by a basic , credible compassion .",pos,neg
"gangs , despite the gravity of its subject matter , is often as fun to watch as a good spaghetti western .",pos,neg
a soap-opera quality twist in the last 20 minutes . . . almost puts the kibosh on what is otherwise a sumptuous work of b-movie imagination .,pos,neg
there's something to be said for a studio-produced film that never bothers to hand viewers a suitcase full of easy answers .,pos,neg
"there is a real subject here , and it is handled with intelligence and care .",pos,neg
jason patric and ray liotta make for one splendidly cast pair .,pos,neg
"pratfalls aside , barbershop gets its greatest play from the timeless spectacle of people really talking to each other .",pos,neg
"this amiable picture talks tough , but it's all bluster -- in the end it's as sweet as greenfingers . . .",pos,neg
watching spirited away is like watching an eastern imagination explode .,pos,neg
"while the story does seem pretty unbelievable at times , it's awfully entertaining to watch .",pos,neg
"a smart and funny , albeit sometimes superficial , cautionary tale of a technology in search of an artist .",pos,neg
"i prefer soderbergh's concentration on his two lovers over tarkovsky's mostly male , mostly patriarchal debating societies .",pos,neg
i'm going to give it a marginal thumbs up . i liked it just enough .,pos,neg
"those of you who don't believe in santa claus probably also think that sequels can never capture the magic of the original . well , this movie proves you wrong on both counts .",pos,neg
my wife's plotting is nothing special ; it's the delivery that matters here .,pos,neg
it's a sharp movie about otherwise dull subjects .,pos,neg
"it's like rocky and bullwinkle on speed , but that's neither completely enlightening , nor does it catch the intensity of the movie's strangeness .",pos,neg
it leaves little doubt that kidman has become one of our best actors .,pos,neg
gambling and throwing a basketball game for money isn't a new plot -- in fact toback himself used it in black and white . but toback's deranged immediacy makes it seem fresh again .,pos,neg
"in the director's cut , the film is not only a love song to the movies but it also is more fully an example of the kind of lush , all-enveloping movie experience it rhapsodizes .",pos,neg
graced with the kind of social texture and realism that would be foreign in american teen comedies .,pos,neg
"if we sometimes need comforting fantasies about mental illness , we also need movies like tim mccann's revolution no . 9 .",pos,neg
"the film occasionally tries the viewer's patience with slow pacing and a main character who sometimes defies sympathy , but it ultimately satisfies with its moving story .",pos,neg
". . . certainly an entertaining ride , despite many talky , slow scenes . but something seems to be missing . a sense of real magic , perhaps .",pos,neg
"the movie worked for me right up to the final scene , and then it caved in .",pos,neg
steadfastly uncinematic but powerfully dramatic .,pos,neg
evokes the 19th century with a subtlety that is an object lesson in period filmmaking .,pos,neg
the picture's fascinating byways are littered with trenchant satirical jabs at the peculiar egocentricities of the acting breed .,pos,neg
the modern remake of dumas's story is long on narrative and ( too ) short on action .,pos,neg
"fred schepisi's film is paced at a speed that is slow to those of us in middle age and deathly slow to any teen . with a cast of a-list brit actors , it is worth searching out .",pos,neg
suffers from its timid parsing of the barn-side target of sons trying to breach gaps in their relationships with their fathers .,pos,neg
"oh , james ! your 20th outing shows off a lot of stamina and vitality , and get this , madonna's cameo doesn't suck !",pos,neg
". . . planos fijos , tomas largas , un ritmo pausado y una sutil observación de sus personajes , sin estridencias ni grandes revelaciones .",pos,neg
the symbols float like butterflies and the spinning styx sting like bees . i wanted more .,pos,neg
". . . strips bible stores of the potential for sanctimoniousness , making them meaningful for both kids and church-wary adults .",pos,neg
the first shocking thing about sorority boys is that it's actually watchable . even more baffling is that it's funny .,pos,neg
"first and foremost . . . the reason to go see "" blue crush "" is the phenomenal , water-born cinematography by david hennings .",pos,neg
"in his latest effort , storytelling , solondz has finally made a movie that isn't just offensive -- it also happens to be good .",pos,neg
"i just saw this movie . . . well , it's probably not accurate to call it a movie .",pos,neg
""" what really happened ? "" is a question for philosophers , not filmmakers ; all the filmmakers need to do is engage an audience .",pos,neg
crush is so warm and fuzzy you might be able to forgive its mean-spirited second half .,pos,neg
"i had a dream that a smart comedy would come along to rescue me from a summer of teen-driven , toilet-humor codswallop , and its name was earnest .",pos,neg
"even though the film doesn't manage to hit all of its marks , it's still entertaining to watch the target practice .",pos,neg
"a "" black austin powers ? "" i prefer to think of it as "" pootie tang with a budget . "" sa da tay !",pos,neg
one of the funnier movies in town .,pos,neg
campanella's competent direction and his excellent cast overcome the obstacles of a predictable outcome and a screenplay that glosses over rafael's evolution .,pos,neg
steven soderbergh doesn't remake andrei tarkovsky's solaris so much as distill it .,pos,neg
"though overall an overwhelmingly positive portrayal , the film doesn't ignore the more problematic aspects of brown's life .",pos,neg
the philosophical musings of the dialogue jar against the tawdry soap opera antics of the film's action in a way that is surprisingly enjoyable .,pos,neg
"quando tiros em columbine acerta o alvo ( com o perdão do trocadilho ) , não há como negar o brilhantismo da argumentação de seu diretor .",pos,neg
jones has tackled a meaty subject and drawn engaging characters while peppering the pages with memorable zingers .,pos,neg
an adorably whimsical comedy that deserves more than a passing twinkle .,pos,neg
"there's real visual charge to the filmmaking , and a strong erotic spark to the most crucial lip-reading sequence .",pos,neg
the kind of trifle that date nights were invented for .,pos,neg
tells ( the story ) with such atmospheric ballast that shrugging off the plot's persnickety problems is simply a matter of ( being ) in a shrugging mood .,pos,neg
"if the man from elysian fields is doomed by its smallness , it is also elevated by it--the kind of movie that you enjoy more because you're one of the lucky few who sought it out .",pos,neg
meticulously uncovers a trail of outrageous force and craven concealment .,pos,neg
"hey , happy ! is many things -- stoner midnight flick , sci-fi deconstruction , gay fantasia -- but above all it's a love story as sanguine as its title .",pos,neg
wonder of wonders -- a teen movie with a humanistic message .,pos,neg
i'd rather watch a rerun of the powerpuff girls,pos,neg
with the prospect of films like kangaroo jack about to burst across america's winter movie screens it's a pleasure to have a film like the hours as an alternative .,pos,neg
"like its title character , this nicholas nickleby finds itself in reduced circumstances -- and , also like its hero , it remains brightly optimistic , coming through in the end .",pos,neg
"other than the slightly flawed ( and fairly unbelievable ) finale , everything else is top shelf .",pos,neg
i have a confession to make : i didn't particularly like e . t . the first time i saw it as a young boy . that is because - damn it ! - i also wanted a little alien as a friend !,pos,neg
"fairy-tale formula , serves as a paper skeleton for some very good acting , dialogue , comedy , direction and especially charm .",pos,neg
an animation landmark as monumental as disney's 1937 breakthrough snow white and the seven dwarfs .,pos,neg
sex with strangers is fascinating . . .,pos,neg
paid in full is remarkably engaging despite being noticeably derivative of goodfellas and at least a half dozen other trouble-in-the-ghetto flicks .,pos,neg
"often demented in a good way , but it is an uneven film for the most part .",pos,neg
"the script's snazzy dialogue establishes a realistic atmosphere that involves us in the unfolding crisis , but the lazy plotting ensures that little of our emotional investment pays off .",pos,neg
"although i didn't hate this one , it's not very good either . it can be safely recommended as a video/dvd babysitter .",pos,neg
it's a very valuable film . . .,pos,neg
"a remarkable movie with an unsatisfying ending , which is just the point .",pos,neg
smith finds amusing juxtapositions that justify his exercise .,pos,neg
working from a surprisingly sensitive script co-written by gianni romoli . . . ozpetek avoids most of the pitfalls you'd expect in such a potentially sudsy set-up .,pos,neg
""" austin powers in goldmember "" has the right stuff for silly summer entertainment and has enough laughs to sustain interest to the end .",pos,neg
"schaeffer isn't in this film , which may be why it works as well as it does .",pos,neg
"although estela bravo's documentary is cloyingly hagiographic in its portrait of cuban leader fidel castro , it's still a guilty pleasure to watch .",pos,neg
has enough gun battles and throwaway humor to cover up the yawning chasm where the plot should be .,pos,neg
you will likely prefer to keep on watching .,pos,neg
"what might have been readily dismissed as the tiresome rant of an aging filmmaker still thumbing his nose at convention takes a surprising , subtle turn at the midway point .",pos,neg
"this is popcorn movie fun with equal doses of action , cheese , ham and cheek ( as well as a serious debt to the road warrior ) , but it feels like unrealized potential",pos,neg
your children will be occupied for 72 minutes .,pos,neg
'tobey maguire is a poster boy for the geek generation . ',pos,neg
a handsome but unfulfilling suspense drama more suited to a quiet evening on pbs than a night out at an amc .,neg,pos
"( it ) highlights not so much the crime lord's messianic bent , but spacey's .",neg,pos
a film without surprise geared toward maximum comfort and familiarity .,neg,pos
"fessenden continues to do interesting work , and it would be nice to see what he could make with a decent budget . but the problem with wendigo , for all its effective moments , isn't really one of resources .",neg,pos
"spirit is a visual treat , and it takes chances that are bold by studio standards , but it lacks a strong narrative .",neg,pos
"this is a children's film in the truest sense . it's packed with adventure and a worthwhile environmental message , so it's great for the kids . parents , on the other hand , will be ahead of the plot at all times , and there isn't enough clever innuendo to fil",neg,pos
"what ensues are much blood-splattering , mass drug-induced bowel evacuations , and none-too-funny commentary on the cultural distinctions between americans and brits .",neg,pos
"sandra bullock and hugh grant make a great team , but this predictable romantic comedy should get a pink slip .",neg,pos
"attal pushes too hard to make this a comedy or serious drama . he seems to want both , but succeeds in making neither .",neg,pos
the only young people who possibly will enjoy it are infants . . . who might be distracted by the movie's quick movements and sounds .,neg,pos
"the film boasts at least a few good ideas and features some decent performances , but the result is disappointing .",neg,pos
"unfortunately , neither sendak nor the directors are particularly engaging or articulate .",neg,pos
"bang ! zoom ! it's actually pretty funny , but in all the wrong places .",neg,pos
lurid and less than lucid work .,neg,pos
a wannabe comedy of manners about a brainy prep-school kid with a mrs . robinson complex founders on its own preciousness -- and squanders its beautiful women .,neg,pos
"this is surely one of the most frantic , virulent and foul-natured christmas season pics ever delivered by a hollywood studio .",neg,pos
a porn film without the sex scenes .,neg,pos
"the connected stories of breitbart and hanussen are actually fascinating , but the filmmaking in invincible is such that the movie does not do them justice .",neg,pos
"return to never land is much more p . c . than the original version ( no more racist portraits of indians , for instance ) , but the excitement is missing .",neg,pos
a thriller without a lot of thrills .,neg,pos
this stuck pig of a movie flails limply between bizarre comedy and pallid horror .,neg,pos
"in moonlight mile , no one gets shut out of the hug cycle .",neg,pos
"despite its visual virtuosity , 'naqoyqatsi' is banal in its message and the choice of material to convey it .",neg,pos
"slap her - she's not funny ! no french people were harmed during the making of this movie , but they were insulted and the audience was put through torture for an hour and a half .",neg,pos
""" one look at a girl in tight pants and big tits and you turn stupid ? "" um . . isn't that the basis for the entire plot ?",neg,pos
strident and inelegant in its 'message-movie' posturing .,neg,pos
"none of this has the suavity or classical familiarity of bond , but much of it is good for a laugh . the problem with "" xxx "" is that its own action isn't very effective .",neg,pos
an encouraging effort from mccrudden,neg,pos
the romance between the leads isn't as compelling or as believable as it should be .,neg,pos
"with nary a glimmer of self-knowledge , [crane] becomes more specimen than character -- and auto focus remains a chilly , clinical lab report .",neg,pos
'opening up' the play more has partly closed it down .,neg,pos
the film is way too full of itself ; it's stuffy and pretentious in a give-me-an-oscar kind of way .,neg,pos
"certainly beautiful to look at , but its not very informative about its titular character and no more challenging than your average television biopic .",neg,pos
my advice is to skip the film and pick up the soundtrack .,neg,pos
"filled with low-brow humor , gratuitous violence and a disturbing disregard for life .",neg,pos
"the 70-year-old godard has become , to judge from in praise of love , the sort of bitter old crank who sits behind his light meter and harangues the supposed injustices of the artistic world-at-large without doing all that much to correct them .",neg,pos
"solondz is without doubt an artist of uncompromising vision , but that vision is beginning to feel , if not morally bankrupt , at least terribly monotonous .",neg,pos
"while hoffman's performance is great , the subject matter goes nowhere .",neg,pos
"the beautiful , unusual music is this film's chief draw , but its dreaminess may lull you to sleep .",neg,pos
"when [reno] lets her radical flag fly , taking angry potshots at george w . bush , henry kissinger , larry king , et al . , reno devolves into a laugh-free lecture .",neg,pos
"such a premise is ripe for all manner of lunacy , but kaufman and gondry rarely seem sure of where it should go .",neg,pos
"'es en verdad una pena que mandoki esté realizando cintas tan malas desde hace algún tiempo , pues talento tiene , pero quién sabe dónde lo tiene escondido . '",neg,pos
it's hard to understand why anyone in his right mind would even think to make the attraction a movie . and it's harder still to believe that anyone in his right mind would want to see the it .,neg,pos
"the ethos of the chelsea hotel may shape hawke's artistic aspirations , but he hasn't yet coordinated his own dv poetry with the beat he hears in his soul .",neg,pos
"the sight of the name bruce willis brings to mind images of a violent battlefield action picture , but the film has a lot more on its mind--maybe too much .",neg,pos
exploring value choices is a worthwhile topic for a film -- but here the choices are as contrived and artificial as kerrigan's platinum-blonde hair .,neg,pos
all mood and no movie .,neg,pos
press the delete key .,neg,pos
to call this film a lump of coal would only be to flatter it .,neg,pos
at best this is a film for the under-7 crowd . but it would be better to wait for the video . and a very rainy day .,neg,pos
"never again , while nothing special , is pleasant , diverting and modest -- definitely a step in the right direction .",neg,pos
"wouldn't it be funny if a bunch of allied soldiers went undercover as women in a german factory during world war ii ? um , no . but here's a movie about it anyway .",neg,pos
"behan's memoir is great material for a film -- rowdy , brawny and lyrical in the best irish sense -- but sheridan has settled for a lugubrious romance .",neg,pos
"while holm is terrific as both men and hjejle quite appealing , the film fails to make the most out of the intriguing premise .",neg,pos
"lazy filmmaking , with the director taking a hands-off approach when he should have shaped the story to show us why it's compelling .",neg,pos
more trifle than triumph .,neg,pos
"a well-acted , but one-note film .",neg,pos
the movie is too amateurishly square to make the most of its own ironic implications .,neg,pos
"[lee] treats his audience the same way that jim brown treats his women -- as dumb , credulous , unassuming , subordinate subjects . and lee seems just as expectant of an adoring , wide-smiling reception .",neg,pos
the armenian genocide deserves a more engaged and honest treatment .,neg,pos
ultimately this is a frustrating patchwork : an uneasy marriage of louis begley's source novel ( about schmidt ) and an old payne screenplay .,neg,pos
more likely to have you scratching your head than hiding under your seat .,neg,pos
"[a] boldly stroked , luridly coloured , uni-dimensional nonsense machine that strokes the eyeballs while it evaporates like so much crypt mist in the brain .",neg,pos
"violent , vulgar and forgettably entertaining .",neg,pos
where the film falters is in its tone .,neg,pos
the story alone could force you to scratch a hole in your head .,neg,pos
"ultimately , sarah's dedication to finding her husband seems more psychotic than romantic , and nothing in the movie makes a convincing case that one woman's broken heart outweighs all the loss we witness .",neg,pos
"it's supposed to be a humorous , all-too-human look at how hope can breed a certain kind of madness -- and strength -- but it never quite adds up .",neg,pos
"an enigmatic film that's too clever for its own good , it's a conundrum not worth solving .",neg,pos
rashomon-for-dipsticks tale .,neg,pos
"definitely a crowd-pleaser , but then , so was the roman colosseum .",neg,pos
"it takes you somewhere you're not likely to have seen before , but beneath the exotic surface ( and exotic dancing ) it's surprisingly old-fashioned .",neg,pos
this is an insultingly inept and artificial examination of grief and its impacts upon the relationships of the survivors .,neg,pos
competently directed but terminally cute drama .,neg,pos
those eternally devoted to the insanity of black will have an intermittently good time . feel free to go get popcorn whenever he's not onscreen .,neg,pos
"the work of an exhausted , desiccated talent who can't get out of his own way .",neg,pos
"swims in mediocrity , sticking its head up for a breath of fresh air now and then .",neg,pos
"the only upside to all of this unpleasantness is , given its labor day weekend upload , feardotcom should log a minimal number of hits .",neg,pos
"whether this is art imitating life or life imitating art , it's an unhappy situation all around .",neg,pos
an extraordinarily silly thriller .,neg,pos
"the beautiful images and solemn words cannot disguise the slack complacency of [godard's] vision , any more than the gorgeous piano and strings on the soundtrack can drown out the tinny self-righteousness of his voice .",neg,pos
the stunt work is top-notch ; the dialogue and drama often food-spittingly funny .,neg,pos
". . . for all its social and political potential , state property doesn't end up being very inspiring or insightful .",neg,pos
"more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine",neg,pos
the drama discloses almost nothing .,neg,pos
a minor-league soccer remake of the longest yard .,neg,pos
"it's not a particularly good film , but neither is it a monsterous one .",neg,pos
the world needs more filmmakers with passionate enthusiasms like martin scorsese . but it doesn't need gangs of new york .,neg,pos
sade achieves the near-impossible : it turns the marquis de sade into a dullard .,neg,pos
"i was hoping that it would be sleazy and fun , but it was neither .",neg,pos
"rather than real figures , elling and kjell bjarne become symbolic characters whose actions are supposed to relate something about the naïf's encounter with the world .",neg,pos
mariah carey gives us another peek at some of the magic we saw in glitter here in wisegirls .,neg,pos
"i suspect that you'll be as bored watching morvern callar as the characters are in it . if you go , pack your knitting needles .",neg,pos
a period story about a catholic boy who tries to help a jewish friend get into heaven by sending the audience straight to hell .,neg,pos
"proves a lovely trifle that , unfortunately , is a little too in love with its own cuteness .",neg,pos
"entertains not so much because of its music or comic antics , but through the perverse pleasure of watching disney scrape the bottom of its own cracker barrel .",neg,pos
the satire is just too easy to be genuinely satisfying .,neg,pos
less funny than it should be and less funny than it thinks it is .,neg,pos
"an "" o bruin , where art thou ? "" -style cross-country adventure . . . it has sporadic bursts of liveliness , some so-so slapstick and a few ear-pleasing songs on its soundtrack .",neg,pos
"an allegory concerning the chronically mixed signals african american professionals get about overachieving could be intriguing , but the supernatural trappings only obscure the message .",neg,pos
"a very familiar tale , one that's been told by countless filmmakers about italian- , chinese- , irish- , latin- , indian- , russian- and other hyphenate american young men struggling to balance conflicting cultural messages .",neg,pos
"a relentless , bombastic and ultimately empty world war ii action flick .",neg,pos
"diaz , applegate , blair and posey are suitably kooky which should appeal to women and they strip down often enough to keep men alert , if not amused .",neg,pos
absolutely ( and unintentionally ) terrifying .,neg,pos
"blade ii has a brilliant director and charismatic star , but it suffers from rampant vampire devaluation .",neg,pos
"throwing in everything except someone pulling the pin from a grenade with his teeth , windtalkers seems to have ransacked every old world war ii movie for overly familiar material .",neg,pos
a full-frontal attack on audience patience .,neg,pos
"though it was made with careful attention to detail and is well-acted by james spader and maggie gyllenhaal , i felt disrespected .",neg,pos
a real snooze .,neg,pos
"skillful as he is , mr . shyamalan is undone by his pretensions .",neg,pos
"a word of advice to the makers of the singles ward : celebrity cameos do not automatically equal laughs . and neither do cliches , no matter how 'inside' they are .",neg,pos
the hanukkah spirit seems fried in pork .,neg,pos
no surprises .,neg,pos
"you have once again entered the bizarre realm where director adrian lyne holds sway , where all relationships are simultaneously broadly metaphorical , oddly abstract , and excruciatingly literal .",neg,pos
"the high-concept scenario soon proves preposterous , the acting is robotically italicized , and truth-in-advertising hounds take note : there's very little hustling on view .",neg,pos
characterisation has been sacrificed for the sake of spectacle .,neg,pos
"too much power , not enough puff .",neg,pos
"muddled , trashy and incompetent",neg,pos
"despite juliet stevenon's attempt to bring cohesion to pamela's emotional roller coaster life , it is not enough to give the film the substance it so desperately needs .",neg,pos
it's tough to be startled when you're almost dozing .,neg,pos
